"date","CumConfirmed","Pred_q25","Pred_med","Pred_q975"
2021-08-07,36328,NA,NA,NA
2021-08-08,36630,NA,NA,NA
2021-08-09,37010,NA,NA,NA
2021-08-10,37377,NA,NA,NA
2021-08-11,37749,NA,NA,NA
2021-08-12,38165,NA,NA,NA
2021-08-13,38658,NA,NA,NA
2021-08-14,39097,NA,NA,NA
2021-08-15,39615,NA,NA,NA
2021-08-16,40097,NA,NA,NA
2021-08-17,40774,NA,NA,NA
2021-08-18,41521,NA,NA,NA
2021-08-19,42228,NA,NA,NA
2021-08-20,43119,NA,NA,NA
2021-08-21,44026,NA,NA,NA
2021-08-22,44920,NA,NA,NA
2021-08-23,45754,NA,NA,NA
2021-08-24,46725,NA,NA,NA
2021-08-25,47840,NA,NA,NA
2021-08-26,48816,NA,NA,NA
2021-08-27,49935,NA,NA,NA
2021-08-28,51256,NA,NA,NA
2021-08-29,52611,NA,NA,NA
2021-08-30,53868,NA,NA,NA
2021-08-31,55093,NA,NA,NA
2021-09-01,56560,NA,NA,NA
2021-09-02,58208,NA,NA,NA
2021-09-03,59949,NA,NA,NA
2021-09-04,61619,NA,NA,NA
2021-09-05,63155,NA,NA,NA
2021-09-06,64621,NA,NA,NA
2021-09-07,66317,NA,NA,NA
2021-09-08,68042,NA,NA,NA
2021-09-09,69912,NA,NA,NA
2021-09-10,71987,NA,NA,NA
2021-09-11,73603,NA,NA,NA
2021-09-12,75323,NA,NA,NA
2021-09-13,76901,NA,NA,NA
2021-09-14,78544,NA,NA,NA
2021-09-15,80400,NA,NA,NA
2021-09-16,82200,NA,NA,NA
2021-09-17,84056,NA,NA,NA
2021-09-18,85628,NA,NA,NA
2021-09-19,87128,NA,NA,NA
2021-09-20,88710,NA,NA,NA
2021-09-21,90369,NA,NA,NA
2021-09-20,NA,88913,88997,89089
2021-09-21,NA,90798,90918,91043
2021-09-22,NA,92736,92890,93049
2021-09-23,NA,94725,94921,95117
2021-09-24,NA,96784,97009,97228
2021-09-25,NA,98910,99156,99407
2021-09-26,NA,101084,101356,101635
2021-09-27,NA,103317,103629,103944
2021-09-28,NA,105605,105956,106290
2021-09-29,NA,107946,108338,108734
2021-09-30,NA,110388,110792,111212
2021-10-01,NA,112861,113314,113777
2021-10-02,NA,115380,115891,116388
2021-10-03,NA,117986,118546,119056
