"date";"cases";"deaths";"new_cases";"new_deaths"
2020-06-30;64530;1307;2262;27
2020-07-01;67197;1351;2667;44
2020-07-02;69941;1385;2744;34
2020-07-03;72786;1437;2845;52
2020-07-04;75376;1481;2590;44
2020-07-05;77815;1507;2439;26
2020-07-06;80447;1582;2632;75
2020-07-07;83426;1644;2979;62
2020-07-08;87030;1694;3604;50
2020-07-09;90693;1720;3663;26
2020-07-10;94060;1774;3367;54
2020-07-11;97509;1810;3449;36
2020-07-12;100166;1845;2657;35
2020-07-13;103265;1903;3099;58
2020-07-14;106910;1968;3645;65
2020-07-15;111146;2050;4236;82
2020-07-16;114783;2112;3637;62
2020-07-17;119301;2178;4518;66
2020-07-18;122524;2220;3223;42
2020-07-19;126755;2260;4231;40
2020-07-20;130774;2373;4019;113
2020-07-21;136118;2490;5344;117
2020-07-22;141900;2588;5782;98
2020-07-23;148027;2702;6127;114
2020-07-24;153520;2807;5493;105
2020-07-25;158334;2893;4814;86
2020-07-26;162526;2939;4192;46
2020-07-27;167416;3059;4890;120
2020-07-28;173355;3179;5939;120
2020-07-29;178996;3288;5641;109
2020-07-30;185373;3441;6377;153
2020-07-31;191302;3543;5929;102
2020-08-01;196543;3596;5241;53
2020-08-02;201919;3648;5376;52
2020-08-03;206743;3813;4824;165
2020-08-04;213535;3979;6792;166
2020-08-05;220682;4106;7147;127
2020-08-06;228195;4251;7513;145
2020-08-07;235677;4411;7482;160
2020-08-08;241811;4523;6134;112
2020-08-09;246499;4606;4688;83
2020-08-10;253868;4764;7369;158
2020-08-11;260911;5004;7043;240
2020-08-12;268574;5213;7663;209
2020-08-13;276072;5362;7498;149
2020-08-14;282437;5527;6365;165
2020-08-15;289100;5637;6663;110
2020-08-16;294569;5703;5469;66
2020-08-17;299126;5814;4557;111
2020-08-18;305966;6048;6840;234
2020-08-19;312659;6330;6693;282
2020-08-20;320884;6517;8225;187
2020-08-21;329043;6730;8159;213
2020-08-22;336802;6848;7759;118
2020-08-23;342154;6985;5352;137
2020-08-24;350867;7366;8713;381
2020-08-25;359638;7563;8771;197
2020-08-26;370188;7839;10550;276
2020-08-27;380292;8050;10104;211
2020-08-28;392009;8271;11717;221
2020-08-29;401239;8353;9230;82
2020-08-30;408426;8457;7187;104
2020-08-31;417735;8660;9309;203
2020-09-01;428239;8919;10504;259
2020-09-02;439172;9118;10933;199
2020-09-03;451198;9361;12026;243
2020-09-04;461882;9623;10684;262
2020-09-05;471806;9739;9924;116
2020-09-06;478792;9859;6986;120
2020-09-07;488007;10129;9215;270
2020-09-08;500034;10405;12027;276
2020-09-09;512293;10658;12259;253
2020-09-10;524198;10907;11905;249
2020-09-11;535705;11148;11507;241
2020-09-12;546481;11263;10776;115
2020-09-13;555537;11352;9056;89
2020-09-14;565446;11667;9909;315
2020-09-15;577338;11852;11892;185
2020-09-16;589012;12116;11674;264
2020-09-17;601713;12460;12701;344
2020-09-18;613658;12656;11945;196
2020-09-19;622934;12799;9276;143
2020-09-20;631365;13053;8431;254
2020-09-21;640147;13482;8782;429
2020-09-22;652174;13952;12027;470
2020-09-23;664799;14376;12625;424
2020-09-24;678266;14766;13467;390
2020-09-25;691235;15208;12969;442
2020-09-26;702484;15543;11249;335
2020-09-27;711325;15749;8841;206
2020-09-28;723132;16113;11807;364
2020-09-29;736609;16519;13477;406
2020-09-30;751001;16937;14392;418
2020-10-01;765002;20288;14001;3351
2020-10-02;779689;20599;14687;311
2020-10-03;790818;20795;11129;196
2020-10-04;798486;21018;7668;223
2020-10-05;809728;21468;11242;450
2020-10-06;824468;21827;14740;359
2020-10-07;840915;22226;16447;399
2020-10-08;856369;22710;15454;484
2020-10-09;871468;23225;15099;515
2020-10-10;883882;23581;12414;356
2020-10-11;894206;23868;10324;287
2020-10-12;903730;24186;9524;318
2020-10-13;917035;24572;13305;386
2020-10-14;931967;24921;14932;349
2020-10-15;949063;25342;17096;421
2020-10-16;965609;25723;16546;381
2020-10-17;979119;26107;13510;384
2020-10-18;989680;26267;10561;160
2020-10-19;1002662;26716;12982;449
2020-10-20;1018999;27100;16337;384
2020-10-21;1037325;27519;18326;419
2020-10-22;1053650;27957;16325;438
2020-10-23;1069368;28338;15718;381
2020-10-24;1081336;28613;11968;275
2020-10-25;1090589;28896;9253;283
2020-10-26;1102301;29301;11712;405
2020-10-27;1116609;29730;14308;429
2020-10-28;1130533;30071;13924;341
2020-10-29;1143800;30442;13267;371
2020-10-30;1157179;30792;13379;350
2020-10-31;1166924;31002;9745;210
2020-11-01;1173533;31140;6609;138
2020-11-02;1183131;31623;9598;483
2020-11-03;1195276;32052;12145;429
2020-11-04;1205928;32520;10652;468
2020-11-05;1217028;32766;11100;246
2020-11-06;1228814;33136;11786;370
2020-11-07;1236851;33348;8037;212
2020-11-08;1242182;33560;5331;212
2020-11-09;1250499;33907;8317;347
2020-11-10;1262476;34183;11977;276
2020-11-11;1273356;34531;10880;348
2020-11-12;1284519;34782;11163;251
2020-11-13;1296378;35045;11859;263
2020-11-14;1304846;35307;8468;262
2020-11-15;1310491;35436;5645;129
